date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:53	18077/18077	---M--	200	added ('OK')	image/jpeg	etag:%22663af7d4-4a8f%22	https://templates.hibootstrap.com/fafo/default/assets/images/welcome-image-3.jpg	C:/My%20Web%20Sites/Restaurant%202/web/images/welcome-image-3.jpg	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:53	7296/7296	---M--	200	added ('OK')	image/png	etag:%22663af7d4-2193%22	https://templates.hibootstrap.com/fafo/default/assets/images/menu-1.png	C:/My%20Web%20Sites/Restaurant%202/web/images/menu-1.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:54	6246/6246	---M--	200	added ('OK')	image/png	etag:%22663af7d4-1d8e%22	https://templates.hibootstrap.com/fafo/default/assets/images/menu-2.png	C:/My%20Web%20Sites/Restaurant%202/web/images/menu-2.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:54	6456/6456	---M--	200	added ('OK')	image/png	etag:%22663af7d4-1fa8%22	https://templates.hibootstrap.com/fafo/default/assets/images/menu-3.png	C:/My%20Web%20Sites/Restaurant%202/web/images/menu-3.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:54	5399/5399	---M--	200	added ('OK')	image/png	etag:%22663af7d4-1b0d%22	https://templates.hibootstrap.com/fafo/default/assets/images/menu-4.png	C:/My%20Web%20Sites/Restaurant%202/web/images/menu-4.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:54	5317/5317	---M--	200	added ('OK')	image/png	etag:%22663af7d4-1ad9%22	https://templates.hibootstrap.com/fafo/default/assets/images/menu-5.png	C:/My%20Web%20Sites/Restaurant%202/web/images/menu-5.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:55	5493/5493	---M--	200	added ('OK')	image/png	etag:%22663af7d4-1b15%22	https://templates.hibootstrap.com/fafo/default/assets/images/menu-6.png	C:/My%20Web%20Sites/Restaurant%202/web/images/menu-6.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:55	12730/12730	---M--	200	added ('OK')	image/png	etag:%22663af7d4-31d5%22	https://templates.hibootstrap.com/fafo/default/assets/images/burger-slider-1.png	C:/My%20Web%20Sites/Restaurant%202/web/images/burger-slider-1.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:55	10212/10212	---M--	200	added ('OK')	image/png	etag:%22663af7d4-28a7%22	https://templates.hibootstrap.com/fafo/default/assets/images/burger-slider-2.png	C:/My%20Web%20Sites/Restaurant%202/web/images/burger-slider-2.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:55	9215/9215	---M--	200	added ('OK')	image/png	etag:%22663af7d4-24fe%22	https://templates.hibootstrap.com/fafo/default/assets/images/burger-slider-3.png	C:/My%20Web%20Sites/Restaurant%202/web/images/burger-slider-3.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:55	10195/10195	---M--	200	added ('OK')	image/png	etag:%22663af7d4-28e5%22	https://templates.hibootstrap.com/fafo/default/assets/images/burger-slider-4.png	C:/My%20Web%20Sites/Restaurant%202/web/images/burger-slider-4.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:56	8961/8961	---M--	200	added ('OK')	image/png	etag:%22663af7d4-2508%22	https://templates.hibootstrap.com/fafo/default/assets/images/burger-slider-5.png	C:/My%20Web%20Sites/Restaurant%202/web/images/burger-slider-5.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:56	36106/36106	---M--	200	added ('OK')	image/png	etag:%22663af7d4-9984%22	https://templates.hibootstrap.com/fafo/default/assets/images/pizza-slider-1.png	C:/My%20Web%20Sites/Restaurant%202/web/images/pizza-slider-1.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
